Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-12-05 18:09 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-27 15:43 (EST),,,,,,,53,,,
2019-12-05 18:22 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-11-25 07:00 (EST),,,,,,,53,,,
2019-12-09 10:27 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2019-09-17 17:18 (EST),319,118,44%,77,17.04,12.77,452,,,
2019-12-10 20:01 (EST),On Demand,Alex Toussaint,45,Cycling,Music,45 min 90s Ride,2019-11-25 20:19 (EST),313,116,46%,70,16.95,12.71,444,,,
2019-12-11 19:30 (EST),Live,Emma Lovewell,45,Cycling,Music,45 min New Tracks Ride,2019-12-11 19:20 (EST),334,124,45%,75,17.55,13.15,531,170.25,,
2019-12-11 20:18 (EST),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-06 07:00 (EST),,,,,,,37,131.49,,
2019-12-12 17:43 (EST),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-12 02:00 (EST),,,,,,,13,62.39,,
2019-12-12 17:52 (EST),On Demand,Olivia Amato,45,Cycling,Climb,45 min Climb Ride,2019-11-27 05:47 (EST),351,130,50%,66,17.70,13.28,513,164.53,,
2019-12-12 18:39 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-19 14:45 (EST),,,,,,,30,120.24,,
2019-12-14 08:21 (EST),On Demand,Robin Arzon,30,Cycling,Intervals,30 min HIIT Ride,2019-12-13 12:17 (EST),225,125,44%,76,17.53,8.76,300,133.14,,
2019-12-14 08:53 (EST),On Demand,Hannah Frankson,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2019-12-03 06:48 (EST),27,88,40%,71,15.15,1.28,44,105.27,,
2019-12-15 22:14 (EST),On Demand,Jess King,20,Cycling,Music,20 min EDM/Electronic Dance Ride,2019-12-13 09:51 (EST),161,135,45%,77,18.06,6.02,223,159.85,,
2019-12-15 22:36 (EST),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-23 16:28 (EST),,,,,,,31,122.44,,
2019-12-16 12:24 (EST),On Demand,Ally Love,45,Cycling,Theme,45 min Sundays with Love,2019-12-15 11:32 (EST),335,124,44%,78,17.57,13.18,494,158.93,,
2019-12-16 13:11 (EST),On Demand,Hannah Frankson,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2019-11-12 03:30 (EST),26,87,38%,75,15.00,1.24,52,159.20,,
2019-12-16 13:17 (EST),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-16 04:23 (EST),,,,,,,43,142.72,,
2019-12-17 19:57 (EST),On Demand,Emma Lovewell,15,Cycling,Theme,15 min Move for More: HIIT Ride,2019-12-17 06:49 (EST),112,125,42%,81,17.51,4.38,156,147.53,,
2019-12-17 20:14 (EST),On Demand,Ally Love,15,Cycling,Theme,15 min Move for More: Tabata Ride,2019-12-04 06:48 (EST),121,135,46%,76,18.09,4.52,175,169.11,,
2019-12-17 20:32 (EST),On Demand,Hannah Frankson,10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2019-12-01 05:32 (EST),51,85,37%,79,15.03,2.50,94,149.70,,
2019-12-17 20:45 (EST),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-16 20:00 (EST),,,,,,,25,110.92,,
2019-12-21 18:30 (EST),,,8,Cycling,,8 min 9 sec Just Ride,,52,105,43%,72,16.11,2.20,70,126.32,,
2019-12-21 18:41 (EST),On Demand,Leanne Hainsby,30,Cycling,Music,30 min 90s Ride,2019-12-21 03:51 (EST),235,131,44%,78,17.87,8.93,338,165.57,,
2019-12-21 19:16 (EST),On Demand,Kendall Toole,10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2019-12-18 07:30 (EST),50,84,37%,77,14.96,2.49,96,150.88,,
2019-12-21 19:30 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-12-05 02:32 (EST),,,,,,,65,123.99,,
2019-12-21 19:43 (EST),On Demand,Becs Gentry,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2019-12-13 10:24 (EST),,,,,,,19,100.88,,
2019-12-22 13:06 (EST),On Demand,Jess & Robin ,30,Cycling,Music,30 min JLO Ride,2019-10-15 17:47 (EST),226,126,42%,83,17.62,8.80,324,161.54,,
2019-12-22 13:40 (EST),On Demand,Hannah Frankson,10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2019-12-09 06:32 (EST),59,98,40%,76,16.08,2.67,98,153.36,,
2019-12-28 07:32 (EST),On Demand,Alex Toussaint,45,Cycling,Intervals,45 min Intervals & Arms Ride,2019-12-24 05:47 (EST),277,103,43%,69,15.77,11.82,504,164.49,,
2019-12-28 08:19 (EST),On Demand,Sam Yo,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2019-12-18 04:35 (EST),22,75,38%,70,14.32,1.18,45,146.69,,
2019-12-28 12:23 (EST),On Demand,Hannah Corbin,15,Stretching,Full Body Stretch,15 min Full Body Stretch,2019-09-05 10:27 (EST),,,,,,,39,,,
2019-12-28 12:57 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-28 09:00 (EST),,,,,,,52,,,
2019-12-29 08:07 (EST),On Demand,Ally Love,45,Cycling,Theme,45 min Sundays with Love,2019-12-22 11:31 (EST),311,115,42%,78,17.04,12.78,510,162.94,,
2020-01-01 19:45 (EST),On Demand,Emma Lovewell,45,Cycling,Music,45 min 90s Ride,2019-12-30 07:50 (EST),326,121,42%,80,17.33,13.00,488,163.40,,
2020-01-01 20:33 (EST),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-19 15:30 (EST),,,,,,,33,124.07,,
2020-01-03 14:15 (EST),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min HIIT & Hills Ride,2020-01-03 04:52 (EST),233,130,45%,75,17.77,8.89,332,157.25,,
2020-01-03 14:48 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-12-05 02:32 (EST),,,,,,,72,129.58,,
2020-01-05 20:58 (EST),On Demand,Emma Lovewell,30,Cycling,Groove,30 min Groove Ride,2020-01-05 17:04 (EST),230,128,45%,76,17.69,8.84,347,161.49,,
2020-01-05 21:30 (EST),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-06 07:00 (EST),,,,,,,32,124.09,,
2020-01-06 18:30 (EST),Live,Alex Toussaint,45,Cycling,Music,45 min Hip Hop Ride,2020-01-06 18:18 (EST),334,124,42%,82,17.51,13.11,522,168.60,,
2020-01-09 18:37 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2020-01-07 17:18 (EST),340,126,46%,73,17.46,13.09,474,158.63,,
2020-01-09 19:24 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-18 15:40 (EST),,,,,,,40,137.76,,
2020-01-11 08:14 (EST),On Demand,Olivia Amato,45,Cycling,Music,45 min EDM/Electronic Dance Ride,2020-01-08 05:49 (EST),301,112,46%,67,16.52,12.38,467,154.48,,
2020-01-11 09:01 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-18 07:00 (EST),,,,,,,37,132.55,,
2020-01-14 17:45 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2019-12-17 17:17 (EST),330,122,44%,76,17.23,12.92,513,166.65,,
2020-01-14 18:34 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-01-09 02:32 (EST),,,,,,,72,130.46,,
2020-01-20 20:33 (EST),On Demand,Emma Lovewell,45,Cycling,Music,45 min 90s Ride,2020-01-20 07:48 (EST),315,117,43%,75,17.05,12.77,446,,,
2020-01-20 21:22 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2020-01-04 08:30 (EST),,,,,,,49,91.24,,
2020-01-21 17:30 (EST),Live,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2020-01-21 17:17 (EST),331,123,48%,67,17.18,12.88,481,157.14,,
2020-01-21 18:18 (EST),On Demand,Robin Arzon,10,Strength,Core,10 min Core Strength,2020-01-06 18:02 (EST),,,,,,,57,117.04,,
2020-01-22 07:18 (EST),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min HIIT Ride,2020-01-22 04:49 (EST),133,111,41%,79,16.58,5.52,189,,,
2020-01-23 20:14 (EST),On Demand,Emma Lovewell,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2019-11-24 08:30 (EST),,,,,,,11,70.24,,
2020-01-23 20:38 (EST),On Demand,Jess King,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-01-15 17:18 (EST),302,112,45%,69,16.46,12.34,428,,,
2020-01-26 20:47 (EST),On Demand,Alex Toussaint,30,Cycling,Music,30 min Hip Hop Ride,2020-01-25 16:16 (EST),220,123,43%,79,17.33,8.66,312,,,
2020-01-30 08:47 (EST),On Demand,Ally Love,30,Cycling,Intervals,30 min HIIT & Hills Ride,2020-01-27 12:19 (EST),233,130,46%,73,17.71,8.85,330,,,
2020-02-03 19:53 (EST),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min HIIT Ride,2020-02-03 01:51 (EST),222,124,45%,73,17.16,8.58,315,,,
2020-02-13 20:07 (EST),On Demand,Robin Arzon,30,Cycling,Music,30 min Lizzo Ride,2019-08-02 13:20 (EST),215,119,43%,77,17.23,8.61,304,,,
2020-02-14 23:17 (EST),On Demand,Robin Arzon,20,Cycling,Intervals,20 min Tabata Ride,2018-07-18 16:19 (EST),152,127,47%,72,17.47,5.82,215,,,
2020-02-15 17:58 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2019-09-17 17:18 (EST),336,124,47%,72,17.37,13.02,475,,,
2020-02-15 18:46 (EST),On Demand,Robin Arzon,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-01-30 11:02 (EST),,,,,,,53,,,
2020-02-16 17:23 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2019-08-13 17:20 (EST),327,121,45%,71,17.02,12.76,463,,,
2020-02-16 18:11 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-11-25 07:00 (EST),,,,,,,53,,,
2020-02-16 18:25 (EST),On Demand,Emma Lovewell,15,Strength,Core,15 min Core Strength,2019-05-28 09:00 (EST),,,,,,,79,,,
2020-02-18 19:41 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2018-12-11 05:49 (EST),329,122,47%,67,16.98,12.73,466,,,
2020-02-28 18:53 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2019-09-10 17:18 (EST),332,123,43%,78,17.33,12.99,470,,,
2020-03-03 16:01 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2018-11-27 05:49 (EST),341,126,49%,65,17.39,13.04,483,,,
2020-03-03 16:49 (EST),On Demand,Robin Arzon,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-02-27 11:02 (EST),,,,,,,53,,,
2020-03-03 21:54 (EST),On Demand,Rebecca Kennedy,10,Strength,Core,10 min Core Strength,2020-03-01 10:02 (EST),,,,,,,53,,,
2020-03-05 07:16 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2020-02-25 17:18 (EST),333,123,51%,62,17.16,12.86,472,,,
2020-03-05 08:05 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-10-01 16:07 (EST),,,,,,,53,,,
2020-03-08 18:55 (EST),On Demand,Rebecca Kennedy,10,Strength,Core,10 min Core Strength,2020-03-01 10:02 (EST),,,,,,,53,,,
2020-03-13 08:02 (EST),On Demand,Jess King,45,Cycling,Music,45 min House Ride,2020-03-12 17:22 (EST),327,121,45%,74,17.32,12.99,463,,,
2020-03-13 08:50 (EST),On Demand,Ben Alldis,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-03-12 15:32 (EST),,,,,,,53,,,
2020-03-16 19:47 (EST),On Demand,Hannah Frankson,45,Cycling,Music,45 min 90s Ride,2020-03-15 07:49 (EST),318,118,44%,73,17.07,12.80,451,,,
2020-03-16 20:36 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-03-05 02:40 (EST),,,,,,,53,,,
2020-03-17 21:00 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2020-03-10 17:20 (EST),321,119,45%,72,17.14,12.86,455,,,
2020-03-17 21:48 (EST),On Demand,Robin Arzon,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-03-12 11:01 (EST),,,,,,,53,,,
2020-03-19 09:27 (EST),On Demand,Jess Sims,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-03-15 08:30 (EST),,,,,,,26,,,
2020-03-19 10:30 (EST),Live,Robin Arzon,30,Cycling,Theme,30 min Together We Ride,2020-03-19 10:20 (EST),219,122,44%,77,17.34,8.65,310,,,
2020-03-23 10:53 (EST),On Demand,Emma Lovewell,45,Cycling,Music,45 min 90s Ride,2020-03-22 13:20 (EST),322,119,45%,72,17.00,12.75,456,,,
2020-03-24 08:32 (EST),On Demand,Emma Lovewell,45,Cycling,Music,45 min 90s Ride,2020-03-22 13:20 (EST),325,120,45%,73,17.15,12.85,460,,,
2020-03-24 19:39 (EST),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-14 07:08 (EST),,,,,,,13,,,
2020-03-24 19:40 (EST),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min HIIT Ride,2020-03-21 11:48 (EST),224,125,42%,80,17.60,8.79,318,,,
2020-03-24 19:48 (EST),On Demand,Jess Sims,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-03-15 08:30 (EST),,,,,,,11,,,
2020-03-26 08:13 (EST),On Demand,Hannah Frankson,45,Cycling,Intervals,45 min HIIT & Hills Ride,2020-03-19 07:49 (EST),339,126,47%,71,17.62,13.21,480,,,
2020-03-26 09:01 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-03-05 02:40 (EST),,,,,,,53,,,
2020-03-26 19:55 (EST),On Demand,Tunde Oyeneyin,20,Cycling,Intervals,20 min Tabata Ride,2020-03-24 10:32 (EST),163,136,47%,73,18.01,6.00,230,,,
2020-03-28 21:36 (EST),On Demand,Denis Morton,30,Yoga,Focus Flow,30 min Yoga Flow: Arms,2020-03-28 09:30 (EST),,,,,,,111,,,
2020-03-28 22:10 (EST),On Demand,Aditi Shah,10,Meditation,Emotions,10 min Kindness Meditation,2020-03-20 11:16 (EST),,,,,,,,,,
